record_id,plant_scientific_name,plant_common_name,plant_family,primary_alkaloid,primary_flavonoid,primary_terpenoid,primary_glycoside,alkaloid_pct,flavonoid_pct,terpenoid_pct,glycoside_pct,concentration_std,geographic_origin,latitude,longitude,altitude,collection_year,harvest_month,measurement_method,temperature,rainfall,soil_pH,soil_N,soil_P,soil_K,reference_pmid,reference_year
350,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Ursolic acid,Ocimumosides A,1.9584,8.2098,2.5019,0.7922,0.166,"Jorhat, Assam",26.4657,93.9566,113.7,2019,8,HPLC,27.9,2635.7,5.15,126.9,18.9,193.2,27741533,2019
351,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Orientin,Carvacrol,Ocimumosides A,1.3953,4.7156,1.8232,1.4592,0.113,"Jorhat, Assam",26.449,94.1006,170.8,2023,2,HPLC,19.8,1206.1,5.04,110.9,29.8,229.3,28176593,2022
352,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Eugenol,Ocimumosides A,1.6492,5.9826,2.3985,0.8456,0.281,"Jorhat, Assam",26.5198,94.4731,90.8,2023,5,HPLC,23.7,2390.5,5.03,112.2,29.6,230.4,27753907,2023
353,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Eugenol,Ocimumosides A,1.187,7.0426,2.3628,0.9484,0.116,"Jorhat, Assam",26.9017,94.3309,40.5,2016,11,HPLC,21.5,1430.3,4.9,99.6,21.6,227.6,27941622,2014
354,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Carvacrol,Ocimumosides A,1.6796,5.8519,2.1158,1.2084,0.43,"Jorhat, Assam",27.0435,94.1445,160.6,2017,4,UV-Vis Spectroscopy,24.0,1717.5,4.95,128.5,20.9,254.1,28008610,2016
355,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Eugenol,Ocimumosides A,1.2846,5.1323,2.6102,1.1478,0.276,"Jorhat, Assam",26.7916,93.7358,73.1,2022,3,HPLC,22.2,1491.8,4.91,108.6,25.4,223.8,28022460,2020
356,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Carvacrol,Ocimumosides A,0.7807,5.5363,2.5276,1.0061,0.393,"Jorhat, Assam",26.5771,94.302,68.0,2016,12,HPLC,16.2,1110.6,4.97,91.0,35.5,226.4,27904022,2016
357,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Ursolic acid,Ocimumosides A,1.245,7.1559,2.2997,1.4044,0.465,"Jorhat, Assam",27.0224,94.3519,131.2,2019,10,GC-MS,20.9,1902.5,4.31,100.1,22.9,204.8,28015167,2019
358,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Ursolic acid,Ocimumosides A,1.3826,6.9193,1.871,1.2207,0.197,"Jorhat, Assam",26.3344,94.6499,72.6,2005,4,GC-MS,22.2,1928.8,5.13,125.2,24.9,181.6,27783579,2005
359,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Carvacrol,Ocimumosides A,1.505,7.4406,2.6865,1.0532,0.266,"Jorhat, Assam",26.785,93.8143,144.0,2015,7,HPLC-MS,25.8,2576.0,5.28,118.9,21.5,217.2,27842942,2014
360,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Ursolic acid,Ocimumosides A,1.7749,6.3955,2.3016,0.6891,0.121,"Jorhat, Assam",26.7205,94.064,95.2,2021,5,HPLC-MS,25.2,2498.6,5.07,90.2,27.9,192.8,27809627,2020
361,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Carvacrol,Ocimumosides A,1.1318,6.6771,2.0142,1.1449,0.258,"Tirupati, Andhra Pradesh",13.4113,79.9488,351.7,2022,10,HPLC,27.3,629.5,6.96,63.4,23.5,185.7,32479712,2021
362,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Carvacrol,Ocimumosides A,1.3085,7.6071,2.2382,0.9153,0.459,"Tirupati, Andhra Pradesh",13.8207,79.0705,238.1,2021,6,HPLC-MS,34.0,1008.5,7.19,59.8,22.3,167.2,32121820,2021
363,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Carvacrol,Ocimumosides A,0.9733,6.0365,1.905,1.1391,0.311,"Tirupati, Andhra Pradesh",13.3634,79.812,331.8,2019,12,HPLC,22.7,575.3,7.05,74.5,21.1,154.6,32235516,2019
364,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Ursolic acid,Ocimumosides A,1.3916,5.316,2.2881,1.0823,0.498,"Tirupati, Andhra Pradesh",14.0487,79.1825,267.2,2009,4,GC-MS,29.8,686.1,6.9,100.4,13.7,197.9,32112670,2009
365,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Eugenol,Ocimumosides A,1.464,6.1189,2.1141,1.2188,0.11,"Tirupati, Andhra Pradesh",13.4859,79.155,298.8,2016,12,HPLC,21.5,627.9,6.5,74.4,31.2,169.5,32284796,2016
366,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Eugenol,Ocimumosides A,1.3163,6.9086,2.0562,1.1975,0.292,"Tirupati, Andhra Pradesh",13.2921,79.6527,360.5,2023,11,HPLC-MS,26.5,677.3,6.38,59.3,18.3,172.0,32119761,2021
367,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Eugenol,Ocimumosides A,1.6463,5.6532,2.126,1.0352,0.276,"Tirupati, Andhra Pradesh",13.1156,79.4256,322.9,2010,3,HPLC,24.0,568.8,6.46,40.9,25.0,138.9,32282146,2010
368,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Ursolic acid,Ocimumosides A,1.6001,6.7088,1.9361,1.0018,0.401,"Tirupati, Andhra Pradesh",13.9471,79.3676,411.2,2010,5,HPLC-MS,30.0,1094.0,6.94,97.7,18.9,184.1,32284185,2010
369,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Orientin,Carvacrol,Ocimumosides A,1.7037,6.5244,2.4587,1.216,0.288,"Tirupati, Andhra Pradesh",14.2429,79.2591,315.9,2016,6,GC-MS,34.1,1184.5,6.91,106.1,7.5,199.2,32267894,2014
370,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Carvacrol,Ocimumosides A,1.3005,7.2629,2.1881,0.9766,0.415,"Tirupati, Andhra Pradesh",13.5261,79.089,204.0,2007,7,HPLC-MS,33.8,929.2,7.15,68.1,16.8,183.0,32419720,2005
371,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Eugenol,Ocimumosides A,1.5317,4.7395,2.4092,0.9213,0.289,"Tirupati, Andhra Pradesh",13.817,79.8936,412.6,2009,5,HPLC-MS,30.3,1050.3,6.86,75.1,24.0,175.3,32402727,2009
372,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Orientin,Eugenol,Ocimumosides A,1.3609,7.4293,2.0061,1.1246,0.204,"Bhubaneswar, Odisha",20.5138,86.025,57.0,2010,11,HPLC,22.4,1213.4,5.99,74.1,14.5,178.2,34255697,2010
373,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Orientin,Ursolic acid,Ocimumosides A,1.5289,9.0471,2.7849,1.2967,0.224,"Bhubaneswar, Odisha",19.8369,85.9702,10.0,2019,8,GC-MS,28.9,2061.8,6.24,85.4,24.2,176.8,33975082,2017
374,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Eugenol,Ocimumosides A,1.2188,5.8332,2.0709,1.2483,0.474,"Bhubaneswar, Odisha",20.4542,85.926,50.0,2005,12,GC-MS,21.0,653.0,6.03,93.9,18.5,189.9,34315230,2005
375,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Eugenol,Ocimumosides A,1.5676,7.987,2.484,1.097,0.482,"Bhubaneswar, Odisha",20.1785,86.0102,10.0,2005,7,HPLC,28.2,2269.5,6.32,97.6,23.8,205.3,34256609,2005
376,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Orientin,Eugenol,Ocimumosides A,1.6298,4.3606,1.5281,0.8613,0.171,"Bhubaneswar, Odisha",20.2544,85.7758,85.0,2009,3,HPLC-MS,25.7,1075.6,5.77,98.7,30.6,182.6,34235423,2007
377,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Carvacrol,Ocimumosides A,1.3782,7.9153,2.2989,0.8189,0.215,"Bhubaneswar, Odisha",20.556,86.1707,33.7,2015,8,UV-Vis Spectroscopy,30.6,1907.7,5.25,89.0,27.0,168.8,34147039,2013
378,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Carvacrol,Ocimumosides A,1.4558,7.119,2.2128,0.9204,0.207,"Bhubaneswar, Odisha",19.8262,86.0453,10.0,2013,5,HPLC,30.0,1718.7,5.86,92.3,11.1,182.4,34122471,2013
379,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Orientin,Carvacrol,Ocimumosides A,1.6435,5.9613,1.8231,1.3069,0.127,"Bhubaneswar, Odisha",20.6563,85.4171,10.0,2022,3,HPLC,22.5,983.7,5.9,99.5,18.6,188.6,34028352,2022
380,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Orientin,Eugenol,Ocimumosides A,1.0369,7.3208,1.7577,1.0161,0.461,"Bhubaneswar, Odisha",20.6263,85.4273,10.0,2019,10,HPLC,28.5,1331.3,6.03,95.9,32.5,180.7,34357495,2018
381,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Eugenol,Ocimumosides A,1.7122,5.9359,1.6449,1.0512,0.424,"Bhubaneswar, Odisha",20.3717,85.7843,48.6,2018,5,HPLC,30.9,1656.5,6.01,107.7,23.2,173.5,33950179,2016
382,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Carvacrol,Ocimumosides A,1.0523,6.427,1.7541,1.2691,0.145,"Bhubaneswar, Odisha",20.2215,85.7399,115.0,2019,11,HPLC-MS,25.3,1139.5,5.51,88.4,22.3,150.9,34062511,2018
383,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Carvacrol,Ocimumosides A,1.632,4.6436,1.6195,1.1263,0.23,"Chandigarh, Punjab",30.4409,75.9658,308.6,2014,2,GC-MS,21.0,288.3,7.06,85.0,19.3,214.8,35042654,2012
384,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Eugenol,Ocimumosides A,1.3153,4.3607,2.7367,0.8235,0.399,"Chandigarh, Punjab",30.3921,76.9127,282.5,2023,5,HPLC-MS,28.9,693.3,8.04,72.8,26.4,143.2,35304120,2022
385,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Eugenol,Ocimumosides A,1.2587,7.5525,2.4292,1.1841,0.201,"Chandigarh, Punjab",30.4049,76.9783,325.0,2006,10,UV-Vis Spectroscopy,27.4,658.9,7.71,98.9,27.3,177.6,35013426,2005
386,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Ursolic acid,Ocimumosides A,1.4465,6.0645,2.055,1.1623,0.411,"Chandigarh, Punjab",30.3869,76.1206,275.9,2011,12,HPLC,18.1,416.0,6.99,78.0,19.5,159.4,35287228,2010
387,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Carvacrol,Ocimumosides A,1.5778,6.8762,2.321,1.0474,0.236,"Chandigarh, Punjab",30.5974,77.0974,294.2,2020,7,HPLC-MS,27.1,976.3,7.52,90.1,19.7,167.7,35339485,2020
388,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Eugenol,Ocimumosides A,1.1835,5.5439,1.7663,1.0969,0.351,"Chandigarh, Punjab",30.2346,76.6812,291.1,2018,12,HPLC,21.3,389.2,7.23,79.1,13.9,131.5,35268983,2017
389,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Eugenol,Ocimumosides A,1.0199,4.5927,1.6309,1.0326,0.438,"Chandigarh, Punjab",30.3171,76.444,320.0,2022,1,GC-MS,18.3,414.1,7.32,59.5,21.5,178.4,35394343,2020
390,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Carvacrol,Ocimumosides A,1.243,4.5726,1.9031,0.8813,0.412,"Chandigarh, Punjab",30.7532,77.1676,255.8,2016,4,GC-MS,21.3,698.4,6.95,95.8,20.2,189.1,35351933,2015
391,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Vicenin,Carvacrol,Ocimumosides A,1.4922,6.8729,2.362,1.0764,0.343,"Chandigarh, Punjab",30.3573,77.1048,366.4,2021,9,HPLC-MS,25.5,834.8,7.57,91.0,20.3,178.9,35101820,2019
392,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Cirsilineol,Ursolic acid,Ocimumosides A,1.3239,7.285,2.074,0.9879,0.168,"Chandigarh, Punjab",31.3164,76.747,272.5,2012,6,GC-MS,29.2,923.3,7.37,90.9,31.3,165.7,35035654,2010
393,Ocimum sanctum,Tulsi,Lamiaceae,Rosmarinic acid,Apigenin,Ursolic acid,Ocimumosides A,1.2476,3.4074,1.9013,1.0586,0.449,"Chandigarh, Punjab",30.1054,76.9817,223.4,2008,2,HPTLC,17.6,448.0,7.41,94.4,14.0,161.8,35109450,2006
394,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,Citral,Gingerol glucoside,1.1691,4.8863,3.1142,0.7724,0.367,"Western Ghats, Karnataka",12.2132,75.2922,1016.8,2010,10,HPLC-MS,22.0,2144.7,5.95,127.9,27.2,219.8,22820914,2009
395,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Citral,Gingerol glucoside,1.208,4.2246,2.8595,0.8034,0.45,"Western Ghats, Karnataka",12.9816,75.8672,635.7,2019,4,HPTLC,22.6,2474.4,5.41,117.6,27.2,207.1,22720502,2019
396,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,Zingiberene,Gingerol glucoside,1.2611,4.9221,3.284,0.8372,0.258,"Western Ghats, Karnataka",12.3335,75.5167,864.8,2022,10,GC-MS,23.3,2391.9,4.66,133.2,25.1,194.8,22748767,2022
397,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,Zingiberene,Gingerol glucoside,1.0777,5.5059,4.4487,0.7191,0.323,"Western Ghats, Karnataka",12.277,75.3422,1154.3,2017,7,HPLC-MS,31.0,2903.8,5.28,129.2,28.7,244.4,23010819,2017
398,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Zingiberene,Gingerol glucoside,0.8041,3.3789,3.0113,0.794,0.121,"Western Ghats, Karnataka",13.091,75.2645,998.6,2017,1,HPLC-MS,20.5,858.5,5.75,106.9,26.0,222.9,22716809,2015
399,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Zingiberene,Gingerol glucoside,0.8032,4.3738,2.8601,0.875,0.438,"Western Ghats, Karnataka",12.434,75.4618,970.5,2023,3,HPLC,21.1,1795.1,5.83,122.1,15.3,221.9,22770306,2022
400,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,beta-Bisabolene,Gingerol glucoside,1.1041,4.4841,4.1714,0.5376,0.384,"Western Ghats, Karnataka",12.37,75.2479,1087.4,2012,5,UV-Vis Spectroscopy,25.8,2691.1,5.9,96.8,25.1,212.5,23014064,2011
401,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Quercetin,Citral,Gingerol glucoside,1.29,5.3328,3.8463,0.7368,0.182,"Western Ghats, Karnataka",12.7005,74.9944,1124.8,2012,7,HPLC-MS,30.3,3111.7,5.74,117.7,28.1,191.3,22896719,2012
402,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Quercetin,Citral,Gingerol glucoside,1.3638,3.6404,3.7341,0.7812,0.308,"Western Ghats, Karnataka",12.7365,75.3844,535.7,2022,3,HPLC,20.3,2096.5,5.41,107.6,19.1,239.8,22958800,2020
403,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,Citral,Gingerol glucoside,1.0862,3.9234,3.8387,0.9955,0.287,"Western Ghats, Karnataka",12.5389,75.9658,845.0,2021,1,HPLC,17.4,1289.8,4.66,130.9,19.8,187.6,22960722,2021
404,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,beta-Bisabolene,Gingerol glucoside,1.2187,5.5806,3.4478,0.7704,0.179,"Western Ghats, Karnataka",12.1533,75.7242,1009.6,2005,6,HPLC,28.2,3219.9,5.97,129.1,25.7,233.5,22732984,2005
405,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Citral,Gingerol glucoside,1.0093,5.0541,4.335,0.7637,0.484,"Western Ghats, Karnataka",12.5042,75.6691,831.7,2013,5,HPLC,28.8,2979.0,4.82,117.6,40.6,199.8,22633502,2013
406,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,beta-Bisabolene,Gingerol glucoside,1.1906,5.9429,4.08,0.7204,0.369,"Western Ghats, Karnataka",12.4417,75.5955,1007.7,2015,8,HPLC,26.9,2847.0,5.71,114.7,20.7,187.1,22744554,2015
407,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,beta-Bisabolene,Gingerol glucoside,1.0261,4.464,3.7719,0.5284,0.473,"Western Ghats, Karnataka",12.5687,75.4943,804.4,2005,9,UV-Vis Spectroscopy,24.9,2673.4,5.88,134.3,25.9,171.0,22940488,2005
408,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Quercetin,Citral,Gingerol glucoside,1.1719,3.1046,2.5718,0.7967,0.456,"Nilgiri Hills, Tamil Nadu",11.451,76.7006,1715.6,2023,3,UV-Vis Spectroscopy,16.8,1330.8,4.9,99.2,22.2,139.9,26375749,2021
409,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Quercetin,Zingiberene,Gingerol glucoside,0.9717,3.5132,4.1334,0.7778,0.433,"Nilgiri Hills, Tamil Nadu",11.8309,76.4888,1630.9,2020,3,GC-MS,15.4,1160.9,5.41,123.6,19.8,205.0,26286248,2020
410,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Quercetin,Zingiberene,Gingerol glucoside,0.8472,3.412,3.4039,0.9085,0.216,"Nilgiri Hills, Tamil Nadu",11.6589,77.1708,1751.5,2019,12,HPLC-MS,14.6,991.6,4.79,115.3,24.1,165.1,26015706,2018
411,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,beta-Bisabolene,Gingerol glucoside,1.043,4.5557,4.1136,0.7469,0.305,"Nilgiri Hills, Tamil Nadu",11.4672,76.116,1608.7,2009,8,HPTLC,24.6,2004.0,4.71,94.9,20.2,177.0,26015641,2008
412,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Quercetin,beta-Bisabolene,Gingerol glucoside,1.4617,4.3036,4.1808,0.6079,0.322,"Nilgiri Hills, Tamil Nadu",11.6123,77.235,2795.4,2020,6,HPLC,21.9,2145.8,5.36,99.8,28.4,180.7,25940218,2018
413,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Quercetin,Zingiberene,Gingerol glucoside,1.0715,3.3965,2.6473,0.8235,0.353,"Nilgiri Hills, Tamil Nadu",11.4627,76.948,2523.3,2012,11,HPLC,15.4,1069.2,4.78,99.7,32.1,179.6,26275359,2012
414,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,Zingiberene,Gingerol glucoside,0.9615,5.1615,3.8606,0.7922,0.165,"Nilgiri Hills, Tamil Nadu",11.6706,77.2945,1844.4,2013,8,HPLC-MS,20.2,2110.8,5.28,103.1,15.2,147.4,26084950,2011
415,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,beta-Bisabolene,Gingerol glucoside,1.347,3.7363,4.2021,0.688,0.123,"Nilgiri Hills, Tamil Nadu",11.5317,76.95,2449.0,2010,5,HPLC-MS,20.6,1834.1,4.74,139.3,22.7,191.4,25993845,2009
416,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Citral,Gingerol glucoside,0.979,5.3314,4.2768,0.8437,0.375,"Nilgiri Hills, Tamil Nadu",11.3448,76.5486,2044.7,2011,8,HPLC,23.2,2416.8,4.83,97.5,28.2,191.9,26393418,2009
417,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Quercetin,Zingiberene,Gingerol glucoside,1.2086,3.9587,4.1333,0.7505,0.411,"Nilgiri Hills, Tamil Nadu",11.5541,76.17,1697.2,2021,5,GC-MS,19.7,1968.8,4.82,103.1,17.4,192.6,26377272,2021
418,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,Zingiberene,Gingerol glucoside,1.0854,4.2665,3.7042,0.6478,0.325,"Nilgiri Hills, Tamil Nadu",11.0148,76.9329,1830.6,2006,5,GC-MS,19.8,2031.2,4.68,112.3,14.7,159.0,25988041,2006
419,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Zingiberene,Gingerol glucoside,0.7891,5.3396,4.3173,0.821,0.167,"Nilgiri Hills, Tamil Nadu",11.4817,76.7617,1828.4,2014,9,HPLC,17.9,1848.3,5.27,92.4,29.9,144.9,26255586,2013
420,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,beta-Bisabolene,Gingerol glucoside,1.0373,4.6533,3.8726,0.8538,0.286,"Nilgiri Hills, Tamil Nadu",11.2455,76.956,1413.9,2009,7,HPLC,22.5,2452.1,5.25,81.9,20.1,134.4,25978117,2007
421,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,Citral,Gingerol glucoside,1.1625,4.5112,4.0293,0.7003,0.245,"Nilgiri Hills, Tamil Nadu",11.161,76.7682,2220.4,2019,7,GC-MS,23.1,2221.8,5.04,110.9,17.2,165.9,26202768,2019
422,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Citral,Gingerol glucoside,1.0102,4.3661,4.0685,0.6248,0.267,"Ernakulam, Kerala",9.4951,76.4201,118.5,2006,5,GC-MS,31.5,2994.3,5.28,121.4,30.3,214.5,27066984,2005
423,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,beta-Bisabolene,Gingerol glucoside,1.0409,3.8633,3.8723,0.7074,0.43,"Ernakulam, Kerala",10.3817,76.2427,134.6,2022,2,HPLC,21.8,2241.9,5.89,153.1,30.2,243.7,26782279,2022
424,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,beta-Bisabolene,Gingerol glucoside,0.8499,2.9404,3.253,0.7622,0.259,"Ernakulam, Kerala",9.6538,76.0396,109.3,2006,1,HPLC-MS,21.8,1477.2,5.88,118.8,26.4,202.1,27212371,2005
425,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Zingiberene,Gingerol glucoside,0.7835,4.1525,2.82,0.8833,0.269,"Ernakulam, Kerala",9.7796,75.8802,12.4,2015,12,GC-MS,22.6,2181.6,5.7,129.7,36.8,233.3,26982395,2013
426,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,Citral,Gingerol glucoside,1.0493,4.6886,3.1784,0.7899,0.341,"Ernakulam, Kerala",10.2423,76.2298,30.9,2017,5,HPLC,27.1,2927.0,5.8,133.1,29.4,209.8,26975369,2017
427,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,Citral,Gingerol glucoside,1.3532,4.6421,2.6984,0.8145,0.427,"Ernakulam, Kerala",10.173,76.4797,148.7,2006,12,HPTLC,21.1,1449.3,5.51,144.3,28.5,241.9,27099357,2005
428,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,beta-Bisabolene,Gingerol glucoside,1.3101,5.1515,3.2753,0.9069,0.335,"Ernakulam, Kerala",10.2048,75.8181,139.7,2007,9,HPLC-MS,28.1,3316.8,5.46,122.6,20.7,247.3,27018130,2006
429,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,Citral,Gingerol glucoside,1.2764,3.9419,3.3311,0.6511,0.186,"Ernakulam, Kerala",9.3922,76.218,101.9,2018,4,GC-MS,27.3,1958.4,5.19,123.3,28.4,194.4,27180676,2016
430,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,beta-Bisabolene,Gingerol glucoside,1.1168,5.0338,3.9852,0.7114,0.307,"Ernakulam, Kerala",10.0181,76.568,152.1,2018,6,HPLC,31.3,4000.0,5.39,124.3,25.1,257.0,27105232,2018
431,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,Citral,Gingerol glucoside,1.1575,5.8959,3.463,0.9551,0.113,"Ernakulam, Kerala",9.7834,76.5525,96.6,2012,9,UV-Vis Spectroscopy,28.0,2930.0,5.56,109.5,28.4,210.4,27071275,2011
432,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,Zingiberene,Gingerol glucoside,1.0479,5.5332,3.6974,0.8368,0.479,"Ernakulam, Kerala",10.0585,76.4335,162.5,2020,10,HPLC,29.0,2315.2,5.68,132.3,32.2,240.0,26905455,2018
433,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Zingiberene,Gingerol glucoside,1.3221,3.2182,3.0506,0.7061,0.184,"Ernakulam, Kerala",9.9258,76.4,185.0,2011,3,HPLC-MS,25.5,2562.2,5.47,120.3,27.1,227.2,27189895,2011
434,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,beta-Bisabolene,Gingerol glucoside,1.1984,3.9202,3.1367,0.771,0.416,"Ernakulam, Kerala",9.9715,76.1788,120.1,2013,4,GC-MS,26.5,2671.9,5.53,109.2,33.8,222.6,27018684,2013
435,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Quercetin,Citral,Gingerol glucoside,0.9814,5.9377,4.2513,0.6347,0.408,"Ernakulam, Kerala",10.2189,76.7176,121.1,2008,8,HPLC-MS,31.8,3555.8,5.71,139.6,38.2,176.8,26954397,2008
436,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Citral,Gingerol glucoside,1.0878,3.518,3.3638,0.6771,0.311,"Bhopal, Madhya Pradesh",23.6822,77.7068,580.4,2011,12,HPLC,20.2,783.2,7.04,97.2,25.2,159.6,31041623,2010
437,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Rutin,Zingiberene,Gingerol glucoside,0.8618,4.2844,2.8992,0.7939,0.325,"Bhopal, Madhya Pradesh",23.7158,78.1504,292.8,2010,5,HPLC,27.2,1306.0,7.16,73.9,18.4,182.9,30868726,2009
438,Zingiber officinale,Ginger,Zingiberaceae,Shogaol,Quercetin,beta-Bisabolene,Gingerol glucoside,1.2169,5.0739,3.4769,0.4744,0.485,"Bhopal, Madhya Pradesh",23.2533,77.7411,556.6,2011,7,HPLC,29.1,1487.8,7.03,97.9,20.4,189.0,31313223,2010
439,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,Citral,Gingerol glucoside,1.267,4.7722,2.978,0.6915,0.5,"Bhopal, Madhya Pradesh",23.5704,78.2211,310.7,2021,6,UV-Vis Spectroscopy,31.0,1464.3,7.29,84.5,16.6,177.0,31059313,2020
440,Zingiber officinale,Ginger,Zingiberaceae,Gingerol,Rutin,beta-Bisabolene,Gingerol glucoside,0.8452,5.1829,3.7745,0.8075,0.367,"Bhopal, Madhya Pradesh",23.379,77.8048,425.5,2017,7,HPTLC,30.8,1676.0,6.75,79.8,32.6,158.3,31315531,2015
